id,bank_uuid,protocol_action,protocol_bean_name,consent_supported
10096,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,LIST_ACCOUNTS,xs2aListAccounts,true
10097,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,LIST_TRANSACTIONS,xs2aListTransactions,true
10098,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,AUTHORIZATION,,true
10099,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10100,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10101,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10102,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,DELETE_CONSENT,xs2aDeleteConsent,true
10103,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10112,688b503d-0f75-4e9a-8944-c0fc4420d92e,LIST_ACCOUNTS,xs2aListAccounts,true
10113,688b503d-0f75-4e9a-8944-c0fc4420d92e,LIST_TRANSACTIONS,xs2aListTransactions,true
10114,688b503d-0f75-4e9a-8944-c0fc4420d92e,AUTHORIZATION,,true
10115,688b503d-0f75-4e9a-8944-c0fc4420d92e,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10116,688b503d-0f75-4e9a-8944-c0fc4420d92e,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10117,688b503d-0f75-4e9a-8944-c0fc4420d92e,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10118,688b503d-0f75-4e9a-8944-c0fc4420d92e,DELETE_CONSENT,xs2aDeleteConsent,true
10119,688b503d-0f75-4e9a-8944-c0fc4420d92e,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10128,76d7e319-fddc-46a4-84fb-607238ddeeae,LIST_ACCOUNTS,xs2aListAccounts,true
10129,76d7e319-fddc-46a4-84fb-607238ddeeae,LIST_TRANSACTIONS,xs2aListTransactions,true
10130,76d7e319-fddc-46a4-84fb-607238ddeeae,AUTHORIZATION,,true
10131,76d7e319-fddc-46a4-84fb-607238ddeeae,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10132,76d7e319-fddc-46a4-84fb-607238ddeeae,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10133,76d7e319-fddc-46a4-84fb-607238ddeeae,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10134,76d7e319-fddc-46a4-84fb-607238ddeeae,DELETE_CONSENT,xs2aDeleteConsent,true
10135,76d7e319-fddc-46a4-84fb-607238ddeeae,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10144,b8a8c9bd-5751-4db6-879f-9654fa657552,LIST_ACCOUNTS,xs2aListAccounts,true
10145,b8a8c9bd-5751-4db6-879f-9654fa657552,LIST_TRANSACTIONS,xs2aListTransactions,true
10146,b8a8c9bd-5751-4db6-879f-9654fa657552,AUTHORIZATION,,true
