profile_uuid,bank_uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches,protocol_type,is_sandbox
5c40d01b-f2fa-4e89-9455-a67ebbcb1603,7d63a148-2491-4802-bf4f-4a15cbf66cd3,Bundesbank,MARKDEF1680,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,68000000,,,XS2A,false
c8f3fd93-e21c-4996-a655-c87458eb35c0,ad58cbc8-3326-48e4-a4ae-7a8366667005,Bundesbank,MARKDEF1694,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,69400000,,,XS2A,false
43f94c01-2a8b-40b6-99fe-c7922ce0f4eb,efbc0482-ede3-4ffd-aff2-ee257a94c6e6,Bundesbank,MARKDEF1700,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,70000000,,,XS2A,false
b2e1e21b-bc7e-4a10-9e22-d3be2cfd481f,c2c2f819-aa0b-4856-a66c-8bc595e97d3f,Bundesbank,MARKDEF1720,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,72000000,,,XS2A,false
c13b1a3b-5fbb-4ada-a94c-45ee65512c4e,9df5d918-4f76-4314-b86c-eeb07c6af32b,Bundesbank,MARKDEF1750,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,75000000,,,XS2A,false
9901c556-7d44-4222-bd20-e6914df11248,64a07b05-c4aa-4a08-918e-1dd4aaa21812,Bundesbank,MARKDEF1760,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,76000000,,,XS2A,false
f3c4ee45-4415-401f-8168-b0c9c6314679,c97501b0-6ab3-40be-bc64-ac32745d6f0e,Bundesbank eh Bayreuth,MARKDEF1773,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,77300000,,,XS2A,false
a8fdcd6c-9bcc-4387-b94a-5555aa864e98,6f8cf974-cab2-4fcb-ae41-c7e381a6be67,Bundesbank,MARKDEF1790,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,79000000,,,XS2A,false
3c944c5e-2cf8-41d6-955d-1545e65de972,c7f18e7f-c554-4f41-95e0-afe5926d001f,Bundesbank,MARKDEF1810,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,81000000,,,XS2A,false
24a27bb4-d9c5-44b9-af61-ace6aa43bb72,68d8f267-9a89-4dd7-8a5c-281f48eae1ad,Bundesbank,MARKDEF1820,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,82000000,,,XS2A,false
