uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches
67648f75-a85b-4906-95d3-693971e675be,Bundesbank,MARKDEF1100,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,10000000,,
cea69d0d-c2c8-4804-852f-5868eee0bcdf,Isbank Berlin,ISBKDEFXXXX,https://psd2.bvxs2a.de/isbank,verlag-adapter,10130600,,
ca4860e9-8a1b-4753-b140-7e75973bcc9a,Isbank Hamburg,ISBKDEFXXXX,https://psd2.bvxs2a.de/isbank,verlag-adapter,20230600,,
ddb1d85e-6e81-43cc-9e0b-290e1b3f41b8,Bundesbank,MARKDEF1130,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,13000000,,
a5ce78bd-7444-4604-a97b-36e1eba84039,Bundesbank,MARKDEF1150,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,15000000,,
acb82cd1-e184-4ac9-bc94-8cab11281181,Bundesbank,MARKDEF1200,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,20000000,,
6d096ce4-35a2-4336-b8c6-689c906d6cf8,Bundesbank eh Kiel,MARKDEF1210,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,21000000,,
f97ad4cd-9efd-4465-a0ee-15622b1f4bd0,Bundesbank eh Luebeck,MARKDEF1230,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,23000000,,
83adb2ff-5588-4c63-941b-e8517993cde6,Bundesbank,MARKDEF1250,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,25000000,,
b5972cff-481d-49f9-9853-0a0827ac7397,Bundesbank,MARKDEF1260,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,26000000,,
b131d148-136c-4b23-af3d-698196541e21,Bundesbank,MARKDEF1265,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,26500000,,
dea1c141-0024-436a-aaf2-915e0dd2a79a,Bundesbank,MARKDEF1280,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,28000000,,
e759245f-e841-4835-b2d6-eb4aad3088d6,Bundesbank eh Bremen,MARKDEF1290,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,29000000,,
989ce1d7-2c95-4ed2-a798-6420680a8fc9,Bundesbank,MARKDEF1300,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,30000000,,
ae69e7b1-c938-47ab-a675-e454f9cfb7d4,Bundesbank,MARKDEF1360,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,36000000,,
a33eb658-dfb9-43ad-81e4-0daf4a34c7d2,Bundesbank,MARKDEF1370,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,37000000,,
8653a3c6-d435-4634-9401-d903e451d240,Bundesbank,MARKDEF1430,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,43000000,,
062d7d00-0414-42e5-b355-be0e501fccd1,Bundesbank,MARKDEF1440,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,44000000,,
a67d6b7a-7a4b-42fa-a2dc-2db7dc90b2fa,Bundesbank,MARKDEF1450,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,45000000,,
1584ebe7-9843-46af-a140-13c26a92c8db,Deutsche Bundesbank Filiale Dortmund (Bargeldzentrum),MARKDEF1470,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,47000000,,
7422bdf6-37d1-4922-bd65-891fb733187a,Bundesbank,MARKDEF1480,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,48000000,,
e87a4fb2-a9da-4d34-b44f-cfc952e326d3,Bundesbank,MARKDEF1500,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,50000000,,
02e620e5-4f13-4481-8cf2-3552e2d19eb6,Bundesbank Zentrale,MARKDEFFXXX,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,50400000,,
581b7f40-44b0-4f50-8f2f-bd5c6a104e82,Bundesbank eh Giessen,MARKDEF1513,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,51300000,,
b200b36a-0643-4e75-9968-8023cf43df82,Bundesbank,MARKDEF1545,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,54500000,,
d884d25e-a8c2-4ce7-940e-a58ff257e5a8,Bundesbank,MARKDEF1550,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,55000000,,
da8911c6-67a4-4cb3-a727-a1304c789bf1,Bundesbank,MARKDEF1570,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,57000000,,
1c9636ff-4ddd-44b9-8ff2-9d7262a5002d,Bundesbank,MARKDEF1590,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,59000000,,
a0268c86-769d-49b8-b06b-843301d491cb,Bundesbank,MARKDEF1600,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,60000000,,
0153ae6b-2b55-41f5-99ae-4b74c23d40fc,Bundesbank,MARKDEF1630,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,63000000,,
8d3eed55-f1f5-4464-bd0f-e128ffd313ab,Bundesbank,MARKDEF1640,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,64000000,,
b8a22a3c-2289-4aca-9869-755477e55d9c,Bundesbank,MARKDEF1660,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,66000000,,
10f4d6a5-b6da-4ba9-89c5-37e07bc30659,Bundesbank,MARKDEF1680,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,68000000,,
09759e3b-8e75-445f-a441-2831f15221ff,Bundesbank,MARKDEF1694,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,69400000,,
d6ef6aee-b2e9-406e-a344-ed13c9427092,Bundesbank,MARKDEF1700,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,70000000,,
