uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches
076f170a-7570-49cb-9ed5-925c30d161ea,Bundesbank,MARKDEF1640,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,64000000,,
e9dbac84-8476-49ae-b921-ec1bf6331e68,Bundesbank,MARKDEF1660,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,66000000,,
7d63a148-2491-4802-bf4f-4a15cbf66cd3,Bundesbank,MARKDEF1680,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,68000000,,
ad58cbc8-3326-48e4-a4ae-7a8366667005,Bundesbank,MARKDEF1694,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,69400000,,
efbc0482-ede3-4ffd-aff2-ee257a94c6e6,Bundesbank,MARKDEF1700,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,70000000,,
c2c2f819-aa0b-4856-a66c-8bc595e97d3f,Bundesbank,MARKDEF1720,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,72000000,,
9df5d918-4f76-4314-b86c-eeb07c6af32b,Bundesbank,MARKDEF1750,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,75000000,,
64a07b05-c4aa-4a08-918e-1dd4aaa21812,Bundesbank,MARKDEF1760,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,76000000,,
c97501b0-6ab3-40be-bc64-ac32745d6f0e,Bundesbank eh Bayreuth,MARKDEF1773,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,77300000,,
6f8cf974-cab2-4fcb-ae41-c7e381a6be67,Bundesbank,MARKDEF1790,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,79000000,,
c7f18e7f-c554-4f41-95e0-afe5926d001f,Bundesbank,MARKDEF1810,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,81000000,,
68d8f267-9a89-4dd7-8a5c-281f48eae1ad,Bundesbank,MARKDEF1820,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,82000000,,
67da79aa-f3a5-4f4d-b201-f97a1cced9d2,Bundesbank eh Dresden,MARKDEF1850,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,85000000,,
0b2567b9-8642-40b5-8939-f83d72ca7a32,Bundesbank,MARKDEF1860,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,86000000,,
31bc07a2-3a9b-4b1f-8a52-17e9ec033ac2,Bundesbank,MARKDEF1870,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,87000000,,
291b2ca1-b35f-463e-ad94-2a1a26c09304,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,35640064,https://psd2.api.commerzbank.com/berlingroup,
dd624199-d071-4c95-b554-179b0e92c707,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040039,https://psd2.api.commerzbank.com/berlingroup,
ae6b6c01-a2f1-4a2f-90b8-884e8f5d7ecc,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040060,https://psd2.api.commerzbank.com/berlingroup,
ac0d9af8-d44d-4b9e-bb30-1ddcf5413598,Commerzbank CC,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040061,https://psd2.api.commerzbank.com/berlingroup,
51289e1d-3874-4740-9556-ad8bd11ef2d7,Commerzbank Gf Web-K,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36040085,https://psd2.api.commerzbank.com/berlingroup,
8c7fa779-31ea-454a-b74c-b1942c121e4d,Commerzbank vormals Dresdner Bank,DRESDEFF360,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36080080,https://psd2.api.commerzbank.com/berlingroup,
cd90371a-97c3-487c-a461-1e363e033ecb,Commerzbank vormals Dresdner Bank PCC DCC-ITGK  2,DRESDEFFI66,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,36080085,https://psd2.api.commerzbank.com/berlingroup,
