id,action_id,protocol_action,sub_protocol_bean_name
10078,10116,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10079,10116,DENY_AUTHORIZATION,hbciDenyAuthorization
10080,10122,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10081,10122,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10082,10122,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10083,10122,DENY_AUTHORIZATION,xs2aDenyAuthorization
10084,10128,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10085,10128,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10086,10128,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10087,10128,DENY_AUTHORIZATION,hbciDenyAuthorization
10088,10134,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10089,10134,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10090,10134,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10091,10134,DENY_AUTHORIZATION,xs2aDenyAuthorization
10092,10140,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10093,10140,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10094,10140,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10095,10140,DENY_AUTHORIZATION,hbciDenyAuthorization
10096,10146,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10097,10146,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10098,10146,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10099,10146,DENY_AUTHORIZATION,xs2aDenyAuthorization
10100,10152,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10101,10152,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10102,10152,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10103,10152,DENY_AUTHORIZATION,hbciDenyAuthorization
10104,10158,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10105,10158,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10106,10158,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10107,10158,DENY_AUTHORIZATION,xs2aDenyAuthorization
10108,10164,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10109,10164,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10110,10164,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10111,10164,DENY_AUTHORIZATION,hbciDenyAuthorization
10112,10170,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10113,10170,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10114,10170,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10115,10170,DENY_AUTHORIZATION,xs2aDenyAuthorization
10116,10176,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10117,10176,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10118,10176,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10119,10176,DENY_AUTHORIZATION,hbciDenyAuthorization
10120,10182,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10121,10182,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10122,10182,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10123,10182,DENY_AUTHORIZATION,xs2aDenyAuthorization
10124,10188,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10125,10188,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10126,10188,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10127,10188,DENY_AUTHORIZATION,hbciDenyAuthorization
10128,10194,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10129,10194,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10130,10194,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10131,10194,DENY_AUTHORIZATION,xs2aDenyAuthorization
10132,10200,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10133,10200,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10134,10200,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10135,10200,DENY_AUTHORIZATION,hbciDenyAuthorization
10136,10206,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10137,10206,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10138,10206,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10139,10206,DENY_AUTHORIZATION,xs2aDenyAuthorization
10140,10212,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10141,10212,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
